ODDS,CS,count
1.16-8.85-22,3-0,1
1.16-8.96-18.4,5-2,1
1.16-9-19.9,7-2,1
1.16-9-21.8,3-0,1
1.16-9.1-20.53,3-0,1
1.16-9.12-21.04,5-0,1
1.16-9.7-18,3-0,1
1.16-9.9-18,3-1,1
1.17-6.5-19,1-0,1
1.17-7.5-13,0-2,1
1.17-7.5-15,2-0,1
1.17-8.19-23.45,2-0,1
1.17-8.92-18.75,4-0,1
1.18-5.75-19,3-0,1
1.18-7-13,6-0,1
1.18-7-14,1-0,1
1.18-8.01-20.06,5-0,1
1.18-8.05-18.7,0-0,1
1.18-8.3-18,1-0,1
1.18-8.7-16.95,3-1,1
1.18-8.79-17.82,5-0,1
1.18-9-15,2-0,1
1.19-7.4-22.64,3-0,1
1.19-7.42-20.97,1-0,1
1.19-7.53-18.76,1-1,1
1.19-7.65-17.5,3-1,1
1.19-7.69-18.88,3-0,1
1.19-7.9-19,4-0,1
1.19-8.05-18.5,2-0,1
1.19-8.3-14.82,5-1,1
1.2-6-15,4-0,1
1.2-6.25-15,5-0,1
1.2-7.1-19.51,1-0,1
1.2-7.85-17.11,1-0,1
1.2-8.2-15.02,2-1,1
1.21-7.25-17.45,2-0,1
1.21-7.3-16,0-0,1
1.21-7.83-14.9,3-0,1
1.21-7.92-14.37,1-0,1
1.21-8.14-13.13,2-0,1
1.21-8.15-13.75,2-1,1
1.22-6-13,1-1,1
1.22-6.8-18.25,1-0,1
1.22-7.2-14.7,4-1,1
1.22-7.25-14.75,3-0,1
1.22-7.35-15.5,2-0,1
1.22-7.4-14.5,5-1,1
1.22-7.6-14.1,2-0,1
1.22-7.6-14.2,2-0,1
1.22-7.61-13.5,5-2,1
1.23-6.76-16.24,1-0,1
1.23-7.14-14.61,4-1,1
1.23-7.22-15.23,3-0,1
1.23-7.23-14.43,5-0,1
1.23-7.25-14.75,0-0,1
1.24-6.4-16,1-0,1
1.24-6.67-15.84,2-2,1
1.24-6.86-14.87,4-0,1
1.24-6.93-13.92,2-0,1
1.24-6.97-12.82,2-2,1
1.24-6.97-14.25,2-0,1
1.24-7-13.4,3-1,1
1.24-7.35-13.5,2-1,1
1.25-5-15,1-0,1
1.25-5.25-13,3-1,1
1.25-5.75-11,3-1,1
1.25-6.34-15.09,7-0,1
1.25-6.76-14.02,2-1,1
1.25-6.8-13.55,2-0,1
1.25-7.04-13.17,3-1,1
1.26-5.97-15.75,2-0,1
1.26-6.25-12.7,1-1,1
1.26-6.3-15.25,2-3,1
1.26-6.45-13.08,2-0,1
1.26-6.6-12.5,5-1,1
1.26-6.7-12.5,1-0,1
1.26-6.75-12.3,3-1,1
1.26-6.77-12.92,5-0,1
1.26-7.04-10.99,3-0,1
1.26-7.48-10.25,5-2,1
1.27-5.39-18.25,4-0,1
1.27-6-13.5,3-1,1
1.27-6.2-14.35,1-1,1
1.27-6.3-13.45,1-1,1
1.27-6.43-12.41,1-0,1
1.27-6.45-12,6-3,1
1.27-6.65-12.35,2-0,1
1.27-6.8-11.75,1-0,1
1.27-7.01-10.86,0-1,1
1.28-4.33-10,1-0,1
1.28-5.75-8.5,2-1,1
1.28-6.02-13.69,4-0,1
1.28-6.27-11.8,3-3,1
1.28-6.28-11.7,2-1,1
1.28-6.33-11.53,2-0,1
1.28-6.36-12.69,3-1,1
1.28-6.4-12.13,3-2,1
1.29-5.5-10,3-2,1
1.29-5.5-9.5,2-3,1
1.29-5.7-15,4-1,1
1.29-5.79-11.44,1-0,1
1.29-6.08-12.86,1-0,1
1.29-6.19-11.68,1-1,1
1.29-6.26-11.64,1-0,1
1.29-6.28-11.6,1-1,1
1.29-6.28-11.97,3-0,1
1.3-4.5-11,1-0,1
1.3-4.75-12,2-0,1
1.3-5-11,3-1,1
1.3-5.25-10,2-1,1
1.3-5.25-9.5,3-1,1
1.3-5.75-8.5,2-0,1
1.3-5.76-11.16,1-1,1
1.3-5.95-11.85,0-0,1
1.3-5.97-11.1,3-1,1
1.3-6-11.65,2-1,1
1.3-6.01-10.99,1-4,1
1.3-6.14-11.24,0-3,1
1.3-6.24-10.68,5-1,1
1.31-5.7-11.3,3-0,1
1.31-5.72-12.15,0-0,1
1.31-5.88-11.27,1-1,1
1.31-6.11-10.98,1-0,1
1.31-6.25-10.02,3-1,1
1.32-5.41-12.07,1-1,1
1.32-5.72-10.56,3-2,1
1.32-5.72-11.12,3-2,1
1.32-5.77-10.88,0-0,1
1.32-5.85-10.95,5-1,1
1.32-6.1-9.81,1-2,1
1.32-6.27-9.97,2-1,1
1.33-4.5-11,4-0,1
1.33-4.75-10,4-0,1
1.33-4.75-9.5,1-0,1
1.33-5.33-11.26,2-0,1
1.33-5.41-11.25,5-1,1
1.33-5.5-7.5,2-1,1
1.33-5.56-11.31,2-0,1
1.33-5.62-10.85,1-0,1
1.33-5.68-10.85,4-0,1
1.33-5.73-10.55,1-3,1
1.33-5.8-10,4-0,1
1.33-5.81-10.48,2-2,1
1.33-6.4-8.85,5-0,1
1.34-5.2-11.32,0-0,1
1.34-5.51-10.46,1-0,1
1.34-5.58-9.77,1-1,1
1.34-5.63-10.67,1-1,1
1.34-5.69-9.79,4-1,1
1.35-5.18-10.77,1-1,1
1.35-5.3-10.93,4-0,1
1.35-5.42-10.55,3-0,1
1.35-5.42-10.7,1-0,1
1.35-5.52-9.68,2-0,1
1.35-5.7-9.78,2-0,1
1.35-5.79-9.33,0-0,1
1.35-5.84-9.04,2-1,1
1.36-4.2-10,1-1,1
1.36-4.33-9.5,0-1,1
1.36-5.05-11.46,5-1,1
1.36-5.11-10.33,1-1,1
1.36-5.25-10.44,4-1,1
1.36-5.3-9.91,2-0,1
1.36-5.34-9.83,1-0,1
1.36-5.35-10.1,0-0,1
1.36-5.43-9.46,0-2,1
1.36-5.45-10,2-0,1
1.36-5.8-8.77,2-0,1
1.37-5.04-9.77,1-1,1
1.37-5.19-9.53,0-0,1
1.37-5.25-9.55,2-0,1
1.37-5.26-9.34,1-0,1
1.37-5.33-9.15,2-1,1
1.37-5.48-8.7,2-1,1
1.38-4.95-10.27,1-0,1
1.38-5.03-9.18,3-1,1
1.38-5.13-9.45,1-0,1
1.38-5.14-8.59,1-0,1
1.38-5.23-9.71,2-1,1
1.38-5.29-9.04,1-3,1
1.38-5.35-9.23,2-0,1
1.38-5.37-8.67,2-1,1
1.38-5.43-8.97,5-2,1
1.39-4.09-9.5,2-0,1
1.39-4.2-9,2-0,1
1.39-4.2-9.5,2-1,1
1.39-4.33-8,1-0,1
1.39-4.63-10.97,3-2,1
1.39-4.82-10.45,3-0,1
1.39-4.83-10.15,1-0,1
1.39-4.9-9.93,1-0,1
1.39-4.92-9.82,3-0,1
1.39-5-6.5,2-0,1
1.39-5.09-9.02,0-0,1
1.39-5.24-9.27,1-0,1
1.39-5.26-8.82,0-0,1
1.39-5.32-8.4,1-0,1
1.39-5.59-8.29,3-0,1
1.4-4.5-8,1-0,1
1.4-4.93-9.09,4-0,1
1.4-5.08-8.95,4-2,1
1.4-5.1-9.05,3-0,1
1.4-5.19-8.52,2-2,1
1.4-5.19-8.88,3-0,1
1.4-5.19-8.99,4-0,1
1.41-4.72-10.29,2-0,1
1.41-5-8.59,1-0,1
1.41-5.02-8.45,0-2,1
1.41-5.02-8.76,2-2,1
1.41-5.1-8.78,1-0,1
1.41-5.14-8.67,3-0,1
1.41-5.17-8.65,5-0,1
1.41-5.18-8.04,0-1,1
1.41-5.21-7.95,1-0,1
1.41-5.51-7.61,2-2,1
1.42-4.73-9.38,1-0,1
1.42-4.96-8.38,1-0,1
1.42-5-8.49,3-1,1
1.42-5.06-8.51,1-0,1
1.42-5.11-8.46,4-0,1
1.42-5.12-8.05,2-0,1
1.42-5.19-8.03,3-0,1
1.42-5.22-7.94,0-0,1
1.43-4.35-10.22,2-0,1
1.43-4.73-8.57,3-0,1
1.43-4.75-8.55,2-1,1
1.43-4.77-8.7,2-1,1
1.43-4.78-8.86,2-2,1
1.43-4.93-8,2-1,1
1.43-5.2-7.69,3-1,1
1.43-5.54-7.27,1-2,1
1.44-4-8.5,3-2,1
1.44-4.54-8.87,2-0,1
1.44-4.7-8.48,1-0,1
1.44-4.7-8.53,3-1,1
1.44-4.81-8.33,0-0,1
1.44-4.85-8.08,3-0,1
1.44-5.03-7.69,6-0,1
1.44-5.04-7.5,2-0,1
1.44-5.3-7.33,6-1,1
1.45-4.55-8.43,3-1,1
1.45-4.61-8.1,1-2,1
1.45-4.62-8.44,0-0,1
1.45-4.68-8.21,2-1,1
1.45-4.83-7.81,0-0,1
1.45-4.88-7.5,2-1,1
1.45-5-7.6,2-0,1
1.45-5.03-7.25,2-0,1
1.45-5.05-7.32,1-1,1
1.46-4.6-8.15,2-0,1
1.46-4.91-7.36,0-1,1
1.46-4.94-7.5,6-1,1
1.46-5.06-7.05,6-0,1
1.47-4.32-8.97,1-0,1
1.47-4.52-8.33,2-0,1
1.47-4.54-7.8,1-0,1
1.47-4.54-7.88,1-1,1
1.47-4.55-8.45,2-0,1
1.48-4.45-8.05,1-1,1
1.48-4.48-7.87,0-1,1
1.48-4.57-7.62,1-1,1
1.48-4.61-7.52,2-0,1
1.48-4.68-7.33,1-0,1
1.48-4.74-7.18,1-1,1
1.48-4.81-7.4,3-0,1
1.48-4.82-6.97,2-1,1
1.48-4.82-7.05,5-0,1
1.48-4.83-7.13,2-0,1
1.48-4.87-7.11,2-1,1
1.48-4.9-7.05,3-2,1
1.48-4.97-6.77,1-1,1
1.48-5.03-6.86,1-0,1
1.49-4.25-8.56,1-3,1
1.49-4.45-7.79,2-1,1
1.49-4.51-7.52,1-2,1
1.49-4.73-7.19,4-1,1
1.49-4.75-6.98,3-0,1
1.49-4.75-7.21,4-0,1
1.49-4.96-6.61,0-0,1
1.5-3.6-6,1-1,1
1.5-3.6-8,1-1,1
1.5-3.6-9,0-0,1
1.5-3.75-8,0-0,1
1.5-3.79-5.5,4-3,1
1.5-3.79-7,4-1,1
1.5-4-6.5,3-3,1
1.5-4-7.5,0-1,1
1.5-4.09-6.5,3-3,1
1.5-4.15-8.52,3-2,1
1.5-4.35-7.69,2-0,1
1.5-4.42-7.66,5-0,1
1.5-4.43-7.46,0-0,1
1.5-4.49-7.32,1-2,1
1.5-4.54-7.29,1-1,1
1.5-4.74-7.13,2-0,1
1.5-4.77-6.91,1-3,1
1.5-4.79-6.9,2-1,1
1.51-4.15-8.3,2-0,1
1.51-4.31-7.75,1-2,1
1.51-4.38-7.39,2-0,1
1.51-4.39-7.42,2-1,1
1.51-4.48-7.28,1-0,1
1.51-4.55-7.08,2-0,1
1.51-4.66-6.83,1-0,1
1.51-4.68-6.74,1-1,1
1.51-4.74-6.75,1-1,1
1.51-4.87-6.57,2-0,1
1.51-4.92-6.4,2-1,1
1.52-4.44-6.8,2-1,1
1.52-4.44-7.17,3-0,1
1.52-4.53-6.94,2-1,1
1.52-4.6-6.87,4-0,1
1.52-4.6-6.94,2-1,1
1.52-4.7-6.74,3-5,1
1.53-3.5-6,3-0,1
1.53-3.6-7.5,1-0,1
1.53-3.75-6.5,1-0,1
1.53-4-6.5,5-3,1
1.53-4.2-5.75,4-1,1
1.53-4.24-7.46,0-1,1
1.53-4.32-7.09,1-3,1
1.53-4.35-6.95,4-1,1
1.53-4.37-7.31,0-0,1
1.53-4.39-6.8,2-0,1
1.53-4.39-6.94,1-1,1
1.53-4.4-7.23,3-0,1
1.53-4.43-6.97,1-2,1
1.53-4.44-6.83,3-2,1
1.53-4.47-6.78,1-0,1
1.53-4.5-6.95,1-2,1
1.53-4.55-6.85,4-3,1
1.53-4.58-6.73,0-0,1
1.53-4.64-6.6,0-2,1
1.53-4.67-6.31,1-3,1
1.54-4.01-7.67,2-0,1
1.54-4.23-7.54,2-1,1
1.54-4.41-6.63,1-0,1
1.54-4.47-6.56,1-1,1
1.54-4.48-6.59,1-2,1
1.54-4.5-6.69,1-0,1
1.54-4.59-6.25,3-1,1
1.55-3.3-8.5,1-3,1
1.55-3.39-8,0-0,1
1.55-3.79-6.25,1-0,1
1.55-3.79-6.5,0-1,1
1.55-4.15-7.01,0-2,1
1.55-4.23-7.29,1-1,1
1.55-4.24-6.99,5-0,1
1.55-4.31-6.76,2-1,1
1.55-4.32-6.58,2-0,1
1.55-4.43-6.57,3-0,1
1.55-4.46-6.42,1-2,1
1.55-4.67-6.26,2-3,1
1.56-4.16-7.02,3-0,1
1.56-4.17-6.9,2-0,1
1.56-4.22-6.71,2-0,1
1.56-4.25-7.08,2-1,1
1.56-4.32-6.86,5-0,1
1.56-4.38-6.67,5-0,1
1.56-4.4-6.68,2-1,1
1.56-4.43-6.55,1-2,1
1.56-4.49-6.27,0-2,1
1.56-4.5-6.19,4-0,1
1.56-4.58-6.12,0-2,1
1.57-3.89-6,4-1,1
1.57-4-6,3-2,1
1.57-4.01-7.16,3-0,1
1.57-4.19-6.74,3-1,1
1.57-4.21-6.54,0-1,1
1.57-4.23-6.81,2-0,1
1.57-4.42-6.33,3-0,1
1.57-4.6-6,4-1,1
1.58-3.98-6.97,0-0,1
1.58-3.98-7.02,2-2,1
1.58-4.04-6.85,4-2,1
1.58-4.06-6.81,3-1,1
1.58-4.11-6.71,3-1,1
1.58-4.15-6.53,0-1,1
1.58-4.18-6.45,1-0,1
1.58-4.2-6.3,2-2,1
1.58-4.21-6.39,0-1,1
1.58-4.21-6.59,2-1,1
1.58-4.25-6.23,2-1,1
1.58-4.33-6.23,1-1,1
1.58-4.35-6.03,1-0,1
1.58-4.39-6.14,1-1,1
1.58-4.41-6.15,3-0,1
1.58-4.46-5.88,2-1,1
1.58-4.59-5.71,2-0,1
1.59-3.91-7.33,2-1,1
1.59-3.93-7.14,2-0,1
1.59-4.03-7,1-1,1
1.59-4.1-6.59,0-0,1
1.6-3.3-6.5,2-0,1
1.6-3.39-7,0-1,1
1.6-3.5-7,2-1,1
1.6-3.6-6.5,1-0,1
1.6-3.8-5.5,2-2,1
1.6-3.8-5.75,2-2,1
1.6-3.97-6.68,1-0,1
1.6-3.98-6.8,2-1,1
1.6-4-5.25,2-0,1
1.6-4.02-6.76,2-2,1
1.6-4.06-6.46,1-1,1
1.6-4.06-6.55,3-1,1
1.6-4.09-5,2-0,1
1.6-4.09-6.38,2-0,1
1.6-4.09-6.55,2-0,1
1.6-4.11-6.41,4-1,1
1.6-4.11-6.47,1-0,1
1.6-4.13-6.4,6-0,1
1.6-4.15-6.09,1-1,1
1.6-4.17-6.25,2-0,1
1.6-4.17-6.27,0-1,1
1.6-4.2-5,0-0,1
1.6-4.2-6.13,2-0,1
1.6-4.21-6.19,1-2,1
1.6-4.21-6.35,2-0,1
1.6-4.24-6.05,3-1,1
1.6-4.24-6.24,2-3,1
1.6-4.25-6.02,2-4,1
1.6-4.26-5.86,4-1,1
1.6-4.35-6.07,1-0,1
1.6-4.37-6.09,2-0,1
1.6-4.4-5.95,3-1,1
1.6-4.41-5.91,2-2,1
1.6-4.6-5.5,0-0,1
1.61-3.5-6.25,3-0,1
1.61-3.84-6.88,2-1,1
1.61-3.94-6.69,2-1,1
1.61-3.95-6.6,1-3,1
1.61-4.02-6.42,0-1,1
1.61-4.03-6.23,3-3,1
1.61-4.04-6.41,2-2,1
1.61-4.1-6.18,3-0,1
1.61-4.11-6.12,5-1,1
1.61-4.14-5.96,2-4,1
1.61-4.16-5.96,3-0,1
1.61-4.27-6.08,3-0,1
1.61-4.28-5.84,1-2,1
1.61-4.46-5.53,2-0,1
1.62-3.2-7.5,4-1,1
1.62-3.4-6.5,2-1,1
1.62-3.5-6.25,1-0,1
1.62-4.07-6.21,1-1,1
1.62-4.07-6.23,0-1,1
1.62-4.12-6.06,1-0,1
1.62-4.14-5.87,2-1,1
1.62-4.15-5.98,1-1,1
1.62-4.15-6,2-0,1
1.62-4.16-5.77,3-2,1
1.62-4.16-6.02,2-1,1
1.62-4.17-6.18,1-1,1
1.62-4.27-5.75,0-1,1
1.62-4.27-5.94,1-1,1
1.63-3.88-6.48,1-1,1
1.63-3.89-6.49,3-2,1
1.63-3.94-6.59,2-3,1
1.63-3.97-6.21,1-0,1
1.63-4.01-6.28,3-2,1
1.63-4.02-6.12,1-2,1
1.63-4.04-6.11,4-0,1
1.63-4.08-5.86,1-4,1
1.63-4.11-6,1-0,1
1.63-4.22-5.75,4-2,1
1.63-4.22-5.76,1-0,1
1.63-4.23-5.74,6-1,1
1.63-4.29-5.65,1-2,1
1.63-4.45-5.36,2-1,1
1.63-4.49-5.44,0-0,1
1.64-3.25-6.5,3-0,1
1.64-3.29-5,1-0,1
1.64-3.29-6,4-0,1
1.64-3.39-6,3-0,1
1.64-3.76-6.91,0-1,1
1.64-3.79-5,2-2,1
1.64-3.94-6.35,0-0,1
1.64-4.01-6.01,8-2,1
1.64-4.09-5.9,1-0,1
1.64-4.12-5.83,1-1,1
1.64-4.25-5.58,2-1,1
1.64-4.33-5.28,3-1,1
1.65-3.3-6.5,1-1,1
1.65-3.4-6,1-0,1
1.65-3.5-5.75,2-1,1
1.65-3.5-6,5-0,1
1.65-3.75-5.25,5-0,1
1.65-3.83-6.31,1-0,1
1.65-3.84-6.19,1-1,1
1.65-3.88-6.13,0-1,1
1.65-3.95-6.1,4-1,1
1.65-4.03-5.88,4-1,1
1.65-4.04-5.77,4-0,1
1.65-4.08-5.55,3-2,1
1.65-4.08-5.75,0-0,1
1.65-4.08-6.01,3-0,1
1.65-4.1-5.72,1-1,1
1.65-4.11-5.69,7-0,1
1.65-4.11-5.84,0-0,1
1.65-4.12-5.93,3-1,1
1.65-4.14-5.57,0-0,1
1.65-4.16-5.67,2-0,1
1.65-4.19-5.51,3-0,1
1.65-4.21-5.49,3-0,1
1.65-4.22-5.51,4-1,1
1.65-4.44-5.25,2-1,1
1.66-3.29-6,2-1,1
1.66-3.5-5.75,2-1,1
1.66-3.6-5.5,2-1,1
1.66-3.78-6.16,1-0,1
1.66-3.9-6.26,2-0,1
1.66-3.97-5.88,1-0,1
1.66-3.98-5.84,0-1,1
1.66-3.98-5.88,1-2,1
1.66-3.99-5.88,1-1,1
1.66-4-5.79,0-2,1
1.66-4.01-5.79,1-0,1
1.66-4.09-5.58,1-0,1
1.66-4.09-5.79,2-1,1
1.66-4.13-5.4,4-1,1
1.66-4.13-5.54,0-0,1
1.66-4.15-5.63,2-1,1
1.66-4.2-5.6,1-1,1
1.66-4.41-5.21,1-1,1
1.67-3.4-5.75,1-1,1
1.67-3.4-6,3-0,1
1.67-3.6-5.5,1-0,1
1.67-3.75-5,1-0,1
1.67-3.78-6.24,1-1,1
1.67-3.79-6.19,1-1,1
1.67-3.8-5,2-2,1
1.67-3.92-5.69,1-0,1
1.67-3.92-5.84,5-0,1
1.67-3.95-5.45,4-3,1
1.67-3.96-5.95,0-2,1
1.67-4-4.75,0-4,1
1.67-4.03-5.64,2-1,1
1.67-4.04-5.43,1-0,1
1.67-4.05-5.61,3-0,1
1.67-4.07-5.54,3-0,1
1.67-4.08-5.49,7-1,1
1.67-4.09-5.54,4-1,1
1.67-4.11-5.49,0-2,1
1.67-4.11-5.5,3-0,1
1.67-4.18-5.38,1-1,1
1.67-4.24-5.24,3-0,1
1.67-4.25-5.27,3-3,1
1.68-3.53-6.67,1-0,1
1.68-3.71-6.31,0-1,1
1.68-3.72-6.31,1-1,1
1.68-3.73-6.12,1-0,1
1.68-3.74-6.08,0-0,1
1.68-3.76-6.07,4-0,1
1.68-3.78-6.05,3-0,1
1.68-3.81-5.91,3-3,1
1.68-3.81-6.2,0-1,1
1.68-3.83-5.84,2-0,1
1.68-3.84-5.94,0-3,1
1.68-3.91-5.5,1-1,1
1.68-3.94-5.69,1-1,1
1.68-3.98-5.59,2-1,1
1.68-3.98-5.62,3-2,1
1.68-3.99-5.63,2-0,1
1.68-4-5.58,1-1,1
1.68-4.06-5.27,3-1,1
1.68-4.08-5.48,2-0,1
1.68-4.12-5.3,2-0,1
1.68-4.12-5.32,2-2,1
1.68-4.15-5.31,1-1,1
1.68-4.15-5.43,0-2,1
1.68-4.18-5.22,2-0,1
1.68-4.21-5.19,0-3,1
1.68-4.23-5.2,2-0,1
1.68-4.3-5.13,0-1,1
1.68-4.33-5.01,3-0,1
1.69-3.77-5.87,1-1,1
1.69-3.87-5.83,1-0,1
1.69-3.93-5.58,2-1,1
1.69-3.95-5.56,3-2,1
1.69-3.96-5.37,1-0,1
1.69-3.96-5.63,2-1,1
1.69-4.02-5.44,3-1,1
1.69-4.07-5.13,2-2,1
1.69-4.08-5.25,1-1,1
1.69-4.13-5.38,4-0,1
1.7-3.2-6,2-0,1
1.7-3.3-5.75,2-1,1
1.7-3.39-5.5,0-3,1
1.7-3.4-5.5,1-2,1
1.7-3.6-5.25,5-1,1
1.7-3.71-5.96,1-0,1
1.7-3.77-5.86,1-0,1
1.7-3.81-5.69,1-2,1
1.7-3.83-5.81,1-0,1
1.7-3.85-5.81,1-2,1
1.7-3.87-5.6,1-0,1
1.7-3.88-5.55,1-0,1
1.7-3.92-5.5,1-1,1
1.7-3.95-5.49,1-1,1
1.7-3.96-5.41,0-3,1
1.7-3.99-5.39,2-1,1
1.7-4-4.5,3-1,1
1.7-4.02-5.17,2-0,1
1.7-4.02-5.28,1-3,1
1.7-4.08-5.36,2-2,1
1.7-4.16-4.94,2-2,1
1.71-3.79-5.66,3-2,1
1.71-3.89-5.62,1-1,1
1.71-3.9-5.41,2-2,1
1.71-3.91-5.43,3-1,1
1.71-3.94-5.32,2-0,1
1.71-3.94-5.49,0-0,1
1.71-3.95-5.29,0-0,1
1.71-3.96-5.36,1-0,1
1.71-3.96-5.43,3-2,1
1.71-3.97-5.11,2-2,1
1.71-4.03-5.19,1-3,1
1.71-4.07-5.28,2-0,1
1.71-4.08-5.12,4-1,1
1.71-4.1-4.98,1-2,1
1.71-4.16-5.04,2-1,1
1.71-4.18-4.83,2-2,1
1.72-3.1-6,3-0,1
1.72-3.25-5.75,1-0,1
1.72-3.61-5.95,2-1,1
1.72-3.66-5.8,2-1,1
1.72-3.69-5.47,3-0,1
1.72-3.69-5.77,2-0,1
1.72-3.74-5.61,2-0,1
1.72-3.75-4.5,3-2,1
1.72-3.77-5.43,3-1,1
1.72-3.77-5.63,2-1,1
1.72-3.8-5.53,1-1,1
1.72-3.82-5.63,2-0,1
1.72-3.84-5.39,0-1,1
1.72-3.86-5.36,2-1,1
1.72-3.87-5.19,1-2,1
1.72-3.88-5.32,1-0,1
1.72-3.89-4.33,2-1,1
1.72-3.92-5.24,3-0,1
1.72-3.92-5.26,0-1,1
1.72-3.92-5.32,2-2,1
1.72-3.92-5.43,2-1,1
1.72-3.95-5.12,3-0,1
1.72-3.97-5.36,1-2,1
1.72-3.98-5.27,3-1,1
1.72-3.98-5.3,2-1,1
1.72-4.01-5.16,1-0,1
1.72-4.06-5.04,1-0,1
1.72-4.09-4.99,1-1,1
1.72-4.1-4.88,3-0,1
1.72-4.14-4.92,1-1,1
1.72-4.14-4.93,4-1,1
1.72-4.2-4.86,2-1,1
1.73-3.1-6,3-0,1
1.73-3.67-5.73,2-0,1
1.73-3.72-5.61,0-0,1
1.73-3.75-4.5,0-1,1
1.73-3.75-4.6,0-1,1
1.73-3.8-4.5,1-2,1
1.73-3.87-5.29,3-3,1
1.73-4.13-4.88,1-1,1
1.73-4.29-4.77,2-1,1
1.74-3.63-5.75,0-1,1
1.74-3.69-5.64,1-1,1
1.74-3.7-5.38,1-1,1
1.74-3.77-5.23,1-4,1
1.74-3.77-5.42,3-3,1
1.74-3.78-5.42,4-0,1
1.74-3.84-5.4,1-0,1
1.74-3.85-5.43,2-0,1
1.74-3.88-5.24,0-1,1
1.74-3.89-5.2,2-1,1
1.74-3.92-5.17,0-3,1
1.74-3.94-5.08,3-0,1
1.74-3.95-5.09,2-1,1
1.74-3.99-5.19,1-1,1
1.74-4-4.86,1-0,1
1.74-4.01-5.01,1-0,1
1.75-3.25-5.5,2-0,1
1.75-3.6-4.5,2-0,1
1.75-3.6-4.59,0-1,1
1.75-3.61-5.57,1-2,1
1.75-3.7-4.5,1-1,1
1.75-3.7-5.34,1-2,1
1.75-3.7-5.43,0-1,1
1.75-3.73-5.35,4-2,1
1.75-3.79-4.33,3-3,1
1.75-3.8-5.28,3-2,1
1.75-3.83-5.16,1-1,1
1.75-3.83-5.38,3-2,1
1.75-3.86-5.13,2-2,1
1.75-3.86-5.15,3-1,1
1.75-3.91-5.08,2-1,1
1.75-3.95-5.14,2-0,1
1.75-3.96-5.03,3-0,1
1.75-4-5.06,2-1,1
1.75-4.05-4.94,6-0,1
1.75-4.09-4.78,4-0,1
1.75-4.14-4.86,0-0,1
1.76-3.52-5.73,3-2,1
1.76-3.55-5.64,3-1,1
1.76-3.71-5.48,0-0,1
1.76-3.73-5.25,3-0,1
1.76-3.73-5.28,2-2,1
1.76-3.81-5.24,1-1,1
1.76-3.83-5.07,1-0,1
1.76-3.83-5.09,1-0,1
1.76-3.84-5.11,1-0,1
1.76-3.84-5.23,0-0,1
1.76-3.85-5.03,1-1,1
1.76-3.86-5.03,1-3,1
1.76-3.87-5.12,4-0,1
1.76-3.89-5.05,2-2,1
1.76-3.89-5.15,3-0,1
1.76-3.91-4.92,2-0,1
1.76-3.91-5,3-0,1
1.76-3.93-4.98,0-0,1
1.76-3.94-4.9,3-1,1
1.76-3.97-4.89,4-0,1
1.76-4-4.74,0-1,1
1.76-4.01-4.78,3-0,1
1.77-3.48-5.99,1-1,1
1.77-3.7-5.31,2-1,1
1.77-3.87-4.97,3-0,1
1.77-3.88-4.89,2-2,1
1.77-3.9-4.91,1-0,1
1.77-3.91-5.02,2-1,1
1.77-3.96-4.84,1-1,1
1.77-4.01-4.73,1-0,1
1.77-4.1-4.64,3-3,1
1.78-3.53-5.6,1-1,1
1.78-3.55-5.55,1-1,1
1.78-3.64-5.48,3-1,1
1.78-3.66-5.28,2-2,1
1.78-3.67-5.23,0-2,1
1.78-3.77-5.08,2-0,1
1.78-3.78-5.06,2-2,1
1.78-3.79-5.05,1-1,1
1.78-3.8-5.12,0-0,1
1.78-3.81-4.96,2-0,1
1.78-3.82-4.95,3-0,1
1.78-3.83-5.05,3-3,1
1.78-3.87-4.81,2-0,1
1.78-3.9-4.86,2-0,1
1.78-3.92-4.84,1-0,1
1.78-3.98-4.69,3-2,1
1.78-4.01-4.81,2-2,1
1.78-4.01-4.83,1-0,1
1.78-4.05-4.78,2-1,1
1.78-4.09-4.6,0-2,1
1.78-4.15-4.62,4-4,1
1.78-4.35-4.27,2-1,1
1.79-3.28-6.2,1-1,1
1.79-3.32-5.98,1-0,1
1.79-3.5-5.7,2-3,1
1.79-3.59-5.37,3-1,1
1.79-3.6-5.16,1-3,1
1.79-3.63-5.18,1-0,1
1.79-3.64-5.19,0-0,1
1.79-3.69-5.07,0-0,1
1.79-3.7-5.19,2-1,1
1.79-3.74-5.19,0-0,1
1.79-3.76-4.95,3-1,1
1.79-3.78-4.84,2-1,1
1.79-3.78-5.08,1-4,1
1.79-3.8-4.88,4-1,1
1.79-3.8-4.9,1-2,1
1.79-3.8-4.95,2-0,1
1.79-3.84-4.87,3-3,1
1.79-3.86-4.7,1-1,1
1.79-3.89-4.74,3-2,1
1.79-3.91-4.72,3-2,1
1.79-3.94-4.67,1-1,1
1.79-4.01-4.52,2-0,1
1.79-4.03-4.62,0-0,1
1.79-4.03-4.66,0-1,1
1.79-4.07-4.61,0-0,1
1.79-4.09-4.53,3-0,1
1.8-3.6-5.21,2-2,1
1.8-3.7-5.05,2-1,1
1.8-3.73-4.97,1-0,1
1.8-3.76-4.91,3-0,1
1.8-3.77-4.88,0-0,1
1.8-3.8-4,2-1,1
1.8-3.82-4.81,4-1,1
1.8-3.9-4.58,1-3,1
1.8-3.97-4.6,1-0,1
