division,HomeTeam,avg_HG,home_as,home_ds
G1,AEK,1.24545454545455,1.51,0.89
E2,"AFC Wimbledon",1.3625,1.14,1.53
N1,"AZ Alkmaar",1.63888888888889,1.39,0.82
SC0,Aberdeen,1.25190839694657,1.26,0.95
E2,Accrington,1.3625,0.83,0.57
SC2,"Airdrie Utd",1.28,1.25,0.73
F2,Ajaccio,1.28042328042328,0.69,0.94
N1,Ajax,1.63888888888889,2.06,0.63
T1,Alanyaspor,1.53888888888889,1.37,0.47
SP1,Alaves,1.31073446327684,0.59,0.91
SP2,Albacete,1.14912280701754,0.78,1.46
SC3,"Albion Rvs",1.46666666666667,0.68,1.16
SP2,Alcorcon,1.14912280701754,0.61,1.22
EC,Aldershot,1.47058823529412,0.87,1.1
SC1,Alloa,1.90196078431373,0.79,2.0
SP2,Almeria,1.14912280701754,1.31,0.73
EC,Altrincham,1.47058823529412,,
F2,Amiens,1.28042328042328,0.52,0.52
B1,Anderlecht,1.57777777777778,0.95,0.43
F1,Angers,1.43617021276596,0.7,1.0
T1,Ankaragucu,1.53888888888889,0.94,1.21
SC3,"Annan Athletic",1.46666666666667,0.68,1.65
T1,Antalyaspor,1.53888888888889,0.79,1.12
B1,Antwerp,1.57777777777778,1.08,0.92
G1,Apollon,1.24545454545455,1.03,1.77
SC1,Arbroath,1.90196078431373,0.32,0.6
G1,Aris,1.24545454545455,1.1,0.67
E0,Arsenal,1.36470588235294,0.73,0.88
I2,Ascoli,1.31736526946108,0.66,1.21
G1,"Asteras Tripolis",1.24545454545455,0.69,0.89
E0,"Aston Villa",1.36470588235294,1.57,1.13
I1,Atalanta,1.60355029585799,1.71,0.82
SP1,"Ath Bilbao",1.31073446327684,1.1,0.81
SP1,"Ath Madrid",1.31073446327684,1.78,0.2
G1,Atromitos,1.24545454545455,1.07,1.08
D1,Augsburg,1.63703703703704,0.69,1.24
F2,Auxerre,1.28042328042328,1.8,0.84
SC1,Ayr,1.90196078431373,0.53,0.3
SP1,Barcelona,1.31073446327684,1.78,1.01
EC,Barnet,1.47058823529412,0.34,1.45
E1,Barnsley,1.19188191881919,1.07,0.98
E3,Barrow,1.36964980544747,1.19,1.21
D1,"Bayern Munich",1.63703703703704,2.44,0.95
B1,"Beerschot VA",1.57777777777778,,
P1,Belenenses,1.28448275862069,0.56,1.0
I1,Benevento,1.60355029585799,0.62,1.31
P1,Benfica,1.28448275862069,1.67,0.87
T1,Besiktas,1.53888888888889,1.71,0.42
SP1,Betis,1.31073446327684,0.95,1.25
D1,Bielefeld,1.63703703703704,0.46,0.91
E1,Birmingham,1.19188191881919,0.56,1.71
E1,Blackburn,1.19188191881919,1.37,1.07
E2,Blackpool,1.3625,0.9,0.85
P1,Boavista,1.28448275862069,0.65,1.6
D2,Bochum,1.61481481481482,1.32,0.47
I1,Bologna,1.60355029585799,1.25,1.39
E3,Bolton,1.36964980544747,0.73,1.21
F1,Bordeaux,1.43617021276596,0.7,0.6
EC,"Boreham Wood",1.47058823529412,0.54,0.62
E1,Bournemouth,1.19188191881919,1.6,0.8
E3,Bradford,1.36964980544747,0.66,0.83
D2,Braunschweig,1.61481481481482,,
SC3,Brechin,1.46666666666667,0.34,2.32
E1,Brentford,1.19188191881919,1.37,0.98
I2,Brescia,1.31736526946108,1.35,1.46
F1,Brest,1.43617021276596,1.47,1.17
E0,Brighton,1.36470588235294,0.81,1.2
E1,"Bristol City",1.19188191881919,0.76,0.89
E2,"Bristol Rvs",1.3625,0.82,1.27
